partida_id,data,fase,rodada,grupo,mandante,visitante,gols_mandante,gols_visitante,resultado,arbitro,arbitro_pais,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,posse_mandante,posse_visitante,passes_certos_mandante,passes_certos_visitante,passes_errados_mandante,passes_errados_visitante,finalizacoes_mandante,finalizacoes_visitante,finalizacoes_no_gol_mandante,finalizacoes_no_gol_visitante,finalizacoes_fora_mandante,finalizacoes_fora_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,defesas_mandante,defesas_visitante,fonte
1068,2026-04-28,Fase de Grupos,3ª Rodada,Grupo B,Cruzeiro,Boca Juniors,1,0,mandante,Esteban Ostojich,,11.0,14.0,4,5,0,1,63.0,37.0,,,,,11,0,2,0,9,0,5.0,1.0,,,0.0,1.0,fbref
1069,2026-04-29,Fase de Grupos,3ª Rodada,Grupo H,Platense,Santa Fe,2,1,mandante,Alexis Herrera,,13.0,16.0,2,3,0,0,49.0,51.0,,,,,13,8,7,1,6,7,3.0,1.0,2.0,0.0,0.0,5.0,fbref
1070,2026-04-29,Fase de Grupos,3ª Rodada,Grupo E,Estudiantes,Flamengo,1,1,empate,Piero Maza,,15.0,5.0,5,1,0,0,52.0,48.0,,,,,14,8,6,5,8,3,8.0,2.0,1.0,1.0,4.0,5.0,fbref
1071,2026-04-29,Fase de Grupos,3ª Rodada,Grupo D,Universitario,Nacional (URU),4,2,mandante,Carlos Benítez,,16.0,8.0,4,4,0,1,56.0,44.0,,,,,15,11,9,6,6,5,7.0,5.0,2.0,0.0,4.0,5.0,fbref
1072,2026-04-29,Fase de Grupos,3ª Rodada,Grupo C,Mirassol,Always Ready,2,0,mandante,Carlos Ortega,,14.0,5.0,4,3,1,0,47.0,54.0,,,,,14,12,4,4,10,8,7.0,6.0,1.0,3.0,4.0,2.0,fbref
1073,2026-04-29,Fase de Grupos,3ª Rodada,Grupo B,Barcelona SC,Universidad Católica,1,2,visitante,Bruno Pérez,,7.0,12.0,3,1,0,0,64.0,36.0,,,,,13,9,6,6,7,3,3.0,3.0,2.0,1.0,4.0,5.0,fbref
1074,2026-04-29,Fase de Grupos,3ª Rodada,Grupo F,Cerro Porteño,Palmeiras,1,1,empate,Gustavo Tejera,,17.0,11.0,1,1,0,0,34.0,66.0,,,,,8,16,3,6,5,10,3.0,5.0,1.0,1.0,5.0,3.0,fbref
1075,2026-04-30,Fase de Grupos,3ª Rodada,Grupo A,Independiente Rivadavia,Deportivo La Guaira,4,1,mandante,Augusto Menéndez,,11.0,15.0,1,0,0,0,53.0,48.0,,,,,13,5,5,2,8,3,4.0,2.0,1.0,0.0,1.0,1.0,fbref
1076,2026-04-30,Fase de Grupos,3ª Rodada,Grupo E,Independiente Medellín,Cusco FC,1,0,mandante,Gery Vargas,,10.0,4.0,3,2,0,0,63.0,37.0,,,,,21,10,6,1,15,9,6.0,1.0,0.0,1.0,1.0,5.0,fbref
1077,2026-04-30,Fase de Grupos,3ª Rodada,Grupo A,Bolívar,Fluminense,2,0,mandante,Derlis López,,15.0,8.0,2,3,0,1,50.0,51.0,,,,,14,6,7,0,7,6,2.0,1.0,4.0,1.0,0.0,5.0,fbref
1078,2026-04-30,Fase de Grupos,3ª Rodada,Grupo H,Corinthians,Peñarol,2,0,mandante,Cristián Garay,,7.0,13.0,0,2,0,0,78.0,22.0,,,,,15,9,4,2,11,7,5.0,4.0,,,2.0,2.0,fbref
1079,2026-05-05,Fase de Grupos,4ª Rodada,Grupo C,Always Ready,Lanús,4,0,mandante,Bruno Pérez,,16.0,6.0,2,1,0,0,63.0,37.0,,,,,24,7,10,4,14,3,2.0,5.0,1.0,1.0,4.0,5.0,fbref
1080,2026-05-05,Fase de Grupos,4ª Rodada,Grupo B,Barcelona SC,Boca Juniors,1,0,mandante,Carlos Betancourt,,14.0,12.0,5,4,1,1,46.0,54.0,,,,,11,10,5,4,6,6,2.0,4.0,3.0,6.0,4.0,3.0,fbref
1081,2026-05-05,Fase de Grupos,4ª Rodada,Grupo F,Sporting Cristal,Palmeiras,0,2,visitante,Darío Herrera,,16.0,12.0,2,2,0,0,42.0,58.0,,,,,18,22,6,5,12,17,8.0,7.0,4.0,2.0,3.0,5.0,fbref
1082,2026-05-05,Fase de Grupos,4ª Rodada,Grupo G,Universidad Central (VEN),Independiente del Valle,2,0,mandante,Gery Vargas,,3.0,7.0,1,2,0,0,32.0,68.0,,,,,8,28,4,7,4,21,1.0,10.0,2.0,1.0,7.0,2.0,fbref
1083,2026-05-05,Fase de Grupos,4ª Rodada,Grupo G,Rosario Central,Libertad,1,0,mandante,Wilton Sampaio,,13.0,18.0,2,4,0,0,51.0,49.0,,,,,17,12,7,3,10,9,5.0,6.0,3.0,0.0,3.0,5.0,fbref
1084,2026-05-06,Fase de Grupos,4ª Rodada,Grupo A,Independiente Rivadavia,Fluminense,1,1,empate,Gustavo Tejera,,13.0,14.0,2,4,0,0,27.0,73.0,,,,,15,11,3,2,12,9,6.0,2.0,3.0,0.0,1.0,2.0,fbref
1085,2026-05-06,Fase de Grupos,4ª Rodada,Grupo D,Tolima,Nacional (URU),3,0,mandante,Raphael Claus,,3.0,5.0,3,2,0,0,62.0,38.0,,,,,19,8,9,2,10,6,10.0,3.0,1.0,1.0,2.0,5.0,fbref
1086,2026-05-06,Fase de Grupos,4ª Rodada,Grupo B,Universidad Católica,Cruzeiro,0,0,empate,Andrés Rojas,,16.0,7.0,2,2,0,1,53.0,48.0,,,,,13,11,5,1,8,10,5.0,2.0,0.0,2.0,1.0,5.0,fbref
1087,2026-05-06,Fase de Grupos,4ª Rodada,Grupo A,Deportivo La Guaira,Bolívar,1,1,empate,Bryan Loayza,,16.0,8.0,4,3,0,0,48.0,53.0,,,,,12,12,6,4,6,8,6.0,7.0,1.0,3.0,3.0,5.0,fbref
1088,2026-05-06,Fase de Grupos,4ª Rodada,Grupo H,Santa Fe,Corinthians,1,1,empate,Kevin Ortega,,17.0,4.0,4,0,0,0,41.0,59.0,,,,,15,12,7,3,8,9,4.0,6.0,3.0,1.0,2.0,6.0,fbref
1089,2026-05-06,Fase de Grupos,4ª Rodada,Grupo E,Cusco FC,Estudiantes,1,1,empate,Guillermo Guerrero,,8.0,5.0,1,3,0,0,61.0,39.0,,,,,14,10,8,2,6,8,3.0,3.0,6.0,0.0,1.0,7.0,fbref
1090,2026-05-07,Fase de Grupos,4ª Rodada,Grupo F,Junior,Cerro Porteño,0,1,visitante,Piero Maza,,13.0,10.0,2,2,0,0,65.0,35.0,,,,,16,12,2,3,14,9,10.0,2.0,3.0,2.0,2.0,2.0,fbref
1091,2026-05-07,Fase de Grupos,4ª Rodada,Grupo D,Coquimbo Unido,Universitario,2,1,mandante,Nicolás Ramírez,,13.0,9.0,1,3,0,0,53.0,48.0,,,,,10,9,4,2,6,7,9.0,3.0,3.0,1.0,1.0,1.0,fbref
1092,2026-05-07,Fase de Grupos,4ª Rodada,Grupo H,Platense,Peñarol,1,1,empate,Juan Gabriel Benítez,,14.0,16.0,2,6,0,0,58.0,42.0,,,,,13,8,3,4,10,4,4.0,3.0,4.0,1.0,3.0,2.0,fbref
1093,2026-05-07,Fase de Grupos,4ª Rodada,Grupo C,Mirassol,LDU,2,0,mandante,Alexis Herrera,,6.0,12.0,0,3,0,0,52.0,48.0,,,,,15,6,8,2,7,4,7.0,0.0,1.0,1.0,2.0,6.0,fbref
1094,2026-05-19,Fase de Grupos,5ª Rodada,Grupo G,Rosario Central,Universidad Central (VEN),4,0,mandante,Flavio Rodrigues de Souza,,16.0,9.0,2,3,0,0,64.0,36.0,,,,,16,8,6,1,10,7,4.0,0.0,2.0,2.0,1.0,2.0,fbref
1095,2026-05-19,Fase de Grupos,5ª Rodada,Grupo H,Santa Fe,Platense,2,1,mandante,Cristián Garay,,13.0,10.0,5,3,0,0,54.0,46.0,,,,,12,5,4,2,8,3,5.0,3.0,2.0,2.0,1.0,2.0,fbref
1096,2026-05-19,Fase de Grupos,5ª Rodada,Grupo B,Boca Juniors,Cruzeiro,1,1,empate,Jesús Valenzuela,,14.0,15.0,2,2,0,1,54.0,46.0,,,,,28,7,10,3,18,4,12.0,1.0,2.0,0.0,2.0,9.0,fbref
1097,2026-05-19,Fase de Grupos,5ª Rodada,Grupo C,Always Ready,Mirassol,1,2,visitante,José Javier Burgos,,18.0,9.0,4,4,0,1,51.0,49.0,,,,,13,9,2,4,11,5,3.0,3.0,2.0,3.0,2.0,1.0,fbref
1098,2026-05-19,Fase de Grupos,5ª Rodada,Grupo D,Coquimbo Unido,Tolima,3,0,mandante,Wilton Sampaio,,14.0,8.0,3,1,0,0,33.0,67.0,,,,,14,8,10,2,4,6,3.0,9.0,3.0,1.0,2.0,7.0,fbref
1099,2026-05-19,Fase de Grupos,5ª Rodada,Grupo A,Fluminense,Bolívar,2,1,mandante,Andrés Matonte,,14.0,9.0,5,2,0,0,74.0,26.0,,,,,24,5,8,2,16,3,5.0,1.0,3.0,0.0,1.0,6.0,fbref
1100,2026-05-19,Fase de Grupos,5ª Rodada,Grupo G,Independiente del Valle,Libertad,4,1,mandante,Anderson Daronco,,4.0,9.0,0,1,0,0,63.0,37.0,,,,,21,6,8,4,13,2,8.0,4.0,1.0,0.0,3.0,4.0,fbref
1101,2026-05-20,Fase de Grupos,5ª Rodada,Grupo F,Palmeiras,Cerro Porteño,0,1,visitante,Yael Falcón,,17.0,10.0,3,3,0,0,74.0,26.0,,,,,11,7,5,2,6,5,6.0,3.0,3.0,0.0,1.0,5.0,fbref
1102,2026-05-20,Fase de Grupos,5ª Rodada,Grupo E,Cusco FC,Independiente Medellín,2,3,visitante,Fernando Véjar,,9.0,10.0,1,3,0,0,62.0,38.0,,,,,12,11,6,5,6,6,9.0,3.0,0.0,3.0,2.0,4.0,fbref
1103,2026-05-20,Fase de Grupos,5ª Rodada,Grupo C,LDU,Lanús,2,0,mandante,Andrés Rojas,,16.0,7.0,3,3,0,0,60.0,40.0,,,,,17,5,3,0,14,5,5.0,1.0,3.0,3.0,0.0,2.0,fbref
