partida_id,data,fase,rodada,mandante,visitante,odd_mandante,odd_empate,odd_visitante,prob_mandante_impl,prob_empate_impl,prob_visitante_impl,margem,bookmaker,gols_mandante,gols_visitante,resultado,fonte
1020,2026-04-14,Fase de Grupos,1ª Rodada,Platense,Corinthians,3.12,2.24,3.46,0.3035,0.4228,0.2737,0.056,Consenso Bzzoiro,0,0,empate,exemplo
1021,2026-04-15,Fase de Grupos,1ª Rodada,Cruzeiro,LDU,2.75,5.02,2.0,0.3421,0.1874,0.4704,0.0628,Consenso Bzzoiro,0,1,visitante,exemplo
1022,2026-04-21,Fase de Grupos,2ª Rodada,Independiente del Valle,Platense,3.7,1.49,7.53,0.2516,0.6248,0.1236,0.0742,Bet365,1,1,empate,exemplo
1023,2026-04-22,Fase de Grupos,2ª Rodada,Cruzeiro,Corinthians,5.8,5.45,1.45,0.1649,0.1755,0.6596,0.0456,Consenso Bzzoiro,0,1,visitante,exemplo
1024,2026-04-21,Fase de Grupos,2ª Rodada,Fluminense,LDU,1.45,3.52,11.26,0.6491,0.2674,0.0836,0.0626,Consenso Bzzoiro,1,1,empate,exemplo
1025,2026-04-29,Fase de Grupos,3ª Rodada,Fluminense,Corinthians,1.58,3.56,7.26,0.6019,0.2671,0.131,0.0516,Bet365,2,1,mandante,exemplo
1026,2026-04-28,Fase de Grupos,3ª Rodada,Cruzeiro,Platense,1.95,5.06,2.89,0.4854,0.1871,0.3275,0.0565,Consenso Bzzoiro,0,0,empate,exemplo
1027,2026-04-29,Fase de Grupos,3ª Rodada,LDU,Independiente del Valle,3.08,2.38,3.18,0.3065,0.3966,0.2969,0.0593,Consenso Bzzoiro,0,1,visitante,exemplo
1028,2026-05-05,Fase de Grupos,4ª Rodada,Independiente del Valle,Cruzeiro,3.29,1.73,5.68,0.2873,0.5463,0.1664,0.058,Bet365,0,0,empate,exemplo
1029,2026-05-06,Fase de Grupos,4ª Rodada,Fluminense,Platense,1.65,3.01,7.63,0.5668,0.3107,0.1226,0.0693,Consenso Bzzoiro,3,2,mandante,exemplo
1030,2026-05-05,Fase de Grupos,4ª Rodada,LDU,Corinthians,1.99,2.82,4.7,0.4697,0.3314,0.1989,0.0699,Consenso Bzzoiro,2,1,mandante,exemplo
1031,2026-05-13,Fase de Grupos,5ª Rodada,LDU,Platense,2.69,2.68,3.29,0.3544,0.3558,0.2898,0.0488,Consenso Bzzoiro,1,0,mandante,exemplo
1032,2026-05-12,Fase de Grupos,5ª Rodada,Corinthians,Independiente del Valle,1.65,3.17,6.62,0.5651,0.2941,0.1408,0.0726,Bet365,2,0,mandante,exemplo
1033,2026-05-13,Fase de Grupos,5ª Rodada,Fluminense,Cruzeiro,1.42,3.91,9.22,0.6591,0.2394,0.1015,0.0684,Bet365,0,2,visitante,exemplo
1034,2026-05-19,Fase de Grupos,6ª Rodada,Independiente del Valle,Fluminense,4.51,2.23,2.65,0.2117,0.4281,0.3602,0.0475,Consenso Bzzoiro,0,0,empate,exemplo
1035,2026-05-20,Fase de Grupos,6ª Rodada,LDU,Cruzeiro,1.55,4.93,4.71,0.6085,0.1913,0.2002,0.0603,Consenso Bzzoiro,1,0,mandante,exemplo
1036,2026-05-19,Fase de Grupos,6ª Rodada,Corinthians,Platense,2.11,2.7,4.94,0.4528,0.3538,0.1934,0.0467,Consenso Bzzoiro,2,0,mandante,exemplo
1037,2026-07-28,Oitavas de Final,Ida,Flamengo,Cruzeiro,1.1,11.03,14.89,0.8521,0.085,0.0629,0.0669,Consenso Bzzoiro,2,1,mandante,exemplo
1038,2026-08-04,Oitavas de Final,Volta,Cruzeiro,Flamengo,50.66,2.58,1.56,0.0188,0.3697,0.6115,0.0484,Consenso Bzzoiro,1,1,empate,exemplo
1039,2026-07-29,Oitavas de Final,Ida,Palmeiras,Coquimbo Unido,1.34,4.46,9.7,0.6951,0.2088,0.096,0.0736,Consenso Bzzoiro,3,0,mandante,exemplo
1040,2026-08-05,Oitavas de Final,Volta,Coquimbo Unido,Palmeiras,2.98,3.67,2.24,0.3182,0.2584,0.4234,0.0545,Consenso Bzzoiro,1,2,visitante,exemplo
1041,2026-07-28,Oitavas de Final,Ida,Corinthians,Independiente Rivadavia,1.75,3.6,4.5,0.5333,0.2593,0.2074,0.0714,Consenso Bzzoiro,1,0,mandante,exemplo
1042,2026-08-04,Oitavas de Final,Volta,Independiente Rivadavia,Corinthians,1.86,3.89,3.93,0.5124,0.245,0.2425,0.0492,Bet365,1,2,visitante,exemplo
1043,2026-07-29,Oitavas de Final,Ida,Fluminense,Deportes Tolima,1.64,2.93,8.75,0.5724,0.3204,0.1073,0.0653,Consenso Bzzoiro,2,1,mandante,exemplo
1044,2026-08-05,Oitavas de Final,Volta,Deportes Tolima,Fluminense,5.49,4.12,1.54,0.1696,0.2259,0.6045,0.0742,Bet365,0,1,visitante,exemplo
1045,2026-07-28,Oitavas de Final,Ida,Estudiantes,Platense,2.85,2.28,3.67,0.3304,0.413,0.2566,0.062,Bet365,1,0,mandante,exemplo
1046,2026-08-04,Oitavas de Final,Volta,Platense,Estudiantes,2.26,2.72,3.94,0.4159,0.3456,0.2386,0.0639,Consenso Bzzoiro,1,2,visitante,exemplo
1047,2026-07-29,Oitavas de Final,Ida,LDU,Independiente del Valle,2.57,2.46,3.87,0.3692,0.3857,0.2452,0.054,Consenso Bzzoiro,2,1,mandante,exemplo
1048,2026-08-05,Oitavas de Final,Volta,Independiente del Valle,LDU,3.35,1.94,4.11,0.2823,0.4875,0.2301,0.0573,Consenso Bzzoiro,0,1,visitante,exemplo
